ID,Car,image_Elegant,image_Luxurious,image_Sporty,image_Technology,image_Futuristic,image_Traditional,image_Cute,image_Cool,image_Sleek,area_ボンネット,area_ホイール,area_アッパーグリル,area_リアグリル,area_バンパー,area_フェンダー,area_ドア,area_ヘッドライト
1,A車,,,1,1,1,1,,,,,1,-1,-1,1,,,
2,A車,,,1,1,1,,,,,,-1,,,1,,,-1
3,A車,1,,1,,1,,,,1,,1,1,-1,,,,-1
4,A車,1,1,,,,,1,,,1,1,,,-1,,,-1
5,A車,,1,,,1,,,,1,,1,-1,-1,1,,,
6,A車,,,,,,1,,1,,,1,,1,,,,1
7,A車,1,,1,,1,,,1,,,1,-1,,1,-1,,
8,A車,1,1,,,1,,,,1,,-1,-1,,-1,,,
9,A車,,,1,,1,,,,,-1,1,-1,,1,,,
10,A車,,,1,,1,,,1,1,,-1,-1,-1,,,,-1
11,A車,,,1,,1,,,1,1,,,,1,1,1,,
12,A車,1,,,,,,,,,,1,-1,,-1,,,
13,A車,,,1,,1,,,1,,,1,,,1,,,1
14,A車,1,1,1,,1,,,,,,1,1,1,1,,,
15,A車,1,,1,,1,,,1,,,,,1,1,,,-1
16,A車,1,1,1,,1,,,1,,,1,1,,,,-1,
17,A車,,,1,1,,,,1,,,1,,-1,-1,,,
18,A車,1,,1,,1,,,,1,,,1,1,,1,,1
19,A車,1,,,,1,,,,,,1,,1,,,1,-1
20,A車,,,,,1,,,,,,1,-1,1,,,,-1
21,A車,1,1,,,1,,,1,1,,1,,,-1,,,-1
22,A車,,,1,,1,,,,,,1,1,,,,,1
23,A車,,1,1,,1,,,,,,1,1,,-1,,,
24,A車,,,1,1,1,,,,1,,1,-1,1,,,,1
25,A車,,,1,1,,,,,,,1,-1,,1,,,-1
26,A車,,,1,1,1,,,,1,,,1,,1,,-1,
27,A車,,1,1,,1,,,,,,,-1,1,-1,,,
28,A車,,,,,1,,,,,,1,-1,-1,,,,-1
29,A車,,,1,,1,,,1,,,1,,1,1,,,1
30,A車,1,,1,1,1,,1,,1,,1,,,-1,,-1,-1
1,B車,,1,,,,,,,1,,1,,-1,,,,1
2,B車,1,1,,,,,,1,1,,,1,1,1,,,-1
3,B車,,1,1,,,,,1,1,,-1,-1,,1,,,1
4,B車,,1,1,1,1,,,1,1,1,,1,-1,,,,-1
5,B車,,1,1,,,,,1,,,1,,1,,,,1
6,B車,,1,1,1,,1,,,,,-1,-1,-1,-1,,,
7,B車,,1,,,,,,1,1,,1,,-1,,,,-1
8,B車,1,1,,1,,,,,1,,1,,1,1,,,1
9,B車,,1,,,,,,,,,1,,1,,,,-1
10,B車,,1,,,,,,,,,,1,1,1,,-1,
11,B車,,1,,,,,,,1,,1,,1,,,1,-1
12,B車,,,,,,,,,,,-1,1,1,1,,,
13,B車,,1,1,1,,,,1,1,,1,,,,,1,-1
14,B車,,1,1,1,,,,,1,,1,1,1,-1,,,
15,B車,,1,1,,,,,1,1,1,1,,,-1,-1,,
16,B車,,1,,1,,,,1,1,,,,-1,-1,,,1
17,B車,,1,,,,,,1,,,1,,-1,1,,,-1
18,B車,,1,,,,,,,,,1,,1,1,,,
19,B車,,1,,,,,,,,,,1,,1,,1,
20,B車,,1,1,,,,1,,,,1,-1,-1,,,,-1
21,B車,,1,,,1,,,,,,-1,-1,1,,,,1
22,B車,,,,1,1,,,,1,,1,1,1,-1,,,
23,B車,1,,,,,,1,1,,,,,-1,1,1,-1,
24,B車,,,,,,,,1,1,,1,-1,1,,,,1
25,B車,,1,,,,,,1,,,1,,-1,1,,,1
26,B車,,1,,,,,,,,,-1,-1,-1,-1,,,
27,B車,1,1,1,,,,,,1,,1,1,1,,,,1
28,B車,,1,,,,,,1,1,,1,1,1,,,,1
29,B車,,1,1,,,,,1,1,-1,,1,,1,1,,
30,B車,,1,1,,,,,1,1,,1,,-1,-1,,,1
1,C車,1,1,1,1,,,,,1,,1,,1,1,,,1
2,C車,,,1,,,,,,1,,1,,,-1,,,-1
3,C車,1,,1,1,,,,1,1,,1,1,1,1,,,
4,C車,,,1,1,,,,1,1,,,,-1,1,,,-1
5,C車,1,1,1,1,,,,,1,,1,1,1,,1,,
6,C車,1,,,1,1,,,,1,,1,,-1,,,-1,
7,C車,,,1,1,1,,,1,1,,1,-1,1,1,,,
8,C車,,1,1,1,,,,,,,,1,,1,,-1,1
9,C車,1,1,,,,,,,1,,1,,-1,,,,-1
10,C車,1,,1,1,,,,1,1,,1,,1,1,,,
11,C車,1,,1,1,,,,1,1,,-1,1,,-1,,-1,
12,C車,1,,1,1,,,,1,1,1,1,,1,,,,-1
13,C車,1,1,,1,,,,1,1,-1,,,1,1,,,1
14,C車,,,1,1,,,,1,1,,1,-1,,-1,,,1
15,C車,1,,1,1,,,,,1,,,,-1,1,,,1
16,C車,,,1,1,,,,,1,,1,1,,,,,1
17,C車,1,1,,1,,,,1,,,-1,1,-1,,,,1
18,C車,,1,1,1,1,,,,1,,1,,1,,,,1
19,C車,1,1,1,1,,,,1,,,,1,,-1,,1,1
20,C車,1,,,1,,,,,,,1,-1,,1,,,-1
21,C車,1,,,1,,,,1,1,,1,,1,,,,1
22,C車,,1,,,,1,1,1,1,,,,-1,1,,,1
23,C車,1,,1,1,,,,,1,,1,,1,-1,,,-1
24,C車,1,1,1,1,,,,,1,,1,1,1,,,,1
25,C車,1,1,,1,,,,,1,,1,-1,-1,1,,,
26,C車,,1,,1,1,,,,1,,1,-1,,1,,,-1
27,C車,1,,1,1,,,,,,1,,-1,1,,1,,
28,C車,1,,1,1,1,,,1,1,,1,1,1,1,,,
29,C車,1,1,1,1,1,,,1,1,,,1,,1,,,1
30,C車,,,1,1,,,,1,1,,1,-1,1,,,1,
